,No,Set,zircon,Sample ID,Rock type,Age(Ma),REE+Y,label,P,Y,Ce,Sm,Eu,Dy,Lu,Hf,Th,U,pred_type
383,725,Prediction set,detrital zircon,19-12-11-324,detrital zircon (<150Ma),18.7,14.183698701594063,,5.76225806451613,9.95209068097603,0.190857142857143,0.0206644518272425,0.00763157894736842,0.385230769230769,0.455714285714286,52.9510364145658,1.77517726397816,2.19252502116199,0.0
384,726,Prediction set,detrital zircon,19-12-11-333,detrital zircon (<150Ma),20.4,13.287998974891044,,6.25225806451613,9.27006659075637,0.216928571428571,0.0168770764119601,0.00651315789473684,0.366953846153846,0.4052,51.9048739495798,1.39960256035352,1.9428589333649,0.0
385,727,Prediction set,detrital zircon,19-12-11-334,detrital zircon (<150Ma),66.0,15.9626161971606,,9.16193548387097,11.6801433860229,0.124857142857143,0.0374086378737542,0.0101973684210526,0.563692307692308,0.338285714285714,49.6834733893557,0.694636845636032,0.597257866506792,0.0
386,728,Prediction set,detrital zircon,19-12-11-335,detrital zircon (<150Ma),20.5,17.669261679319668,,9.29483870967742,12.5516187387243,0.316071428571429,0.0320265780730897,0.0103947368421053,0.529969230769231,0.479828571428571,53.5669467787115,2.91114286583169,2.74155834369815,0.0
387,729,Prediction set,detrital zircon,19-12-11-337,detrital zircon (<150Ma),67.6,19.470484958076952,,14.1116129032258,13.5790690151562,0.172285714285714,0.0160132890365449,0.00511184210526316,0.524430769230769,0.624742857142857,59.6407282913165,1.14274067149367,2.08697249983844,0.0
388,730,Prediction set,detrital zircon,19-12-11-338,detrital zircon (<150Ma),63.6,56.09347268272034,,24.1487096774194,41.0951172171453,0.443642857142857,0.123920265780731,0.0405263157894737,1.99581538461538,1.17474285714286,45.192324929972,3.19902297718943,1.64131757430196,0.0
389,731,Prediction set,detrital zircon,19-12-11-340,detrital zircon (<150Ma),49.3,8.542761873867873,,6.70645161290323,6.12366209839464,0.188357142857143,0.0186046511627907,0.00592105263157895,0.275015384615385,0.205942857142857,55.4773669467787,0.720074429055357,0.714728825023337,0.0
390,732,Prediction set,detrital zircon,19-12-11-346,detrital zircon (<150Ma),17.7,12.616381032154013,,5.69193548387097,8.79023200242282,0.237714285714286,0.0178737541528239,0.00717105263157895,0.346276923076923,0.388114285714286,65.4027450980392,2.22841750447468,2.55153134201506,0.0
391,733,Prediction set,detrital zircon,19-12-11-352,detrital zircon (<150Ma),73.3,28.79151352327944,,15.131935483871,20.1125854417567,0.250642857142857,0.0282392026578073,0.00947368421052631,0.7776,0.923257142857143,61.1189915966387,2.14042620037633,3.26314058454883,0.0
392,734,Prediction set,detrital zircon,19-12-11-36,detrital zircon (<150Ma),19.3,11.492143304400457,,5.11548387096774,7.84389149909546,0.286214285714286,0.012358803986711,0.00426315789473684,0.290030769230769,0.395028571428571,63.5345098039216,3.328308165837,3.71576772849911,0.0
393,735,Prediction set,detrital zircon,19-12-11-361,detrital zircon (<150Ma),64.2,13.46203651884648,,9.50483870967742,9.34080394981522,0.0913571428571428,0.0102325581395349,0.00470394736842105,0.346338461538462,0.467714285714286,60.8425210084034,0.803238756343785,1.66527754981502,0.0
394,736,Prediction set,detrital zircon,19-12-11-382,detrital zircon (<150Ma),70.8,20.88340692176128,,11.7690322580645,14.9265786587337,0.1165,0.0305647840531561,0.0102631578947368,0.616923076923077,0.596514285714286,60.7097478991597,0.938110228804962,1.06868542050271,0.0
395,737,Prediction set,detrital zircon,19-12-11-384,detrital zircon (<150Ma),18.3,23.091038684077034,,11.7977419354839,16.4578562888003,0.457214285714286,0.0326910299003322,0.0106578947368421,0.715938461538462,0.591371428571429,63.4691316526611,3.22140879036849,3.17862911140404,0.0
396,738,Prediction set,detrital zircon,19-12-11-386,detrital zircon (<150Ma),16.3,13.194114554770792,,4.73451612903226,9.09308436472038,0.283071428571429,0.0166777408637874,0.00625,0.345661538461538,0.432342857142857,67.4242577030812,3.61895387767409,4.65296439361932,0.0
397,739,Prediction set,detrital zircon,19-12-11-395,detrital zircon (<150Ma),52.4,15.373878239494916,,9.77064516129032,10.9337872300823,0.193571428571429,0.0206644518272425,0.00473684210526316,0.478707692307692,0.387657142857143,57.6594957983193,0.579302690722105,0.595914914902727,0.0
398,740,Prediction set,detrital zircon,19-12-11-397,detrital zircon (<150Ma),15.9,26.736355133814946,,21.0848387096774,19.1182171528918,0.3085,0.0403322259136213,0.0157894736842105,0.840430769230769,0.672171428571429,54.9556302521008,2.15622260955536,1.8295051933039,0.0
399,741,Prediction set,detrital zircon,19-12-11-4,detrital zircon (<150Ma),65.5,15.01367081148632,,9.90806451612903,10.3509426404757,0.105857142857143,0.0140863787375415,0.00482894736842105,0.385415384615385,0.513771428571429,58.5903081232493,0.508889002081953,0.890893635612026,0.0
400,742,Prediction set,detrital zircon,19-12-11-40,detrital zircon (<150Ma),16.6,14.88108575419633,,7.6858064516129,10.434054003649,0.264,0.026312292358804,0.00881578947368421,0.415630769230769,0.450171428571429,54.8660504201681,2.1729920896667,2.16282909445342,0.0
401,743,Prediction set,detrital zircon,19-12-11-400,detrital zircon (<150Ma),65.7,33.32900255043369,,18.9064516129032,23.5939568255605,0.370357142857143,0.027906976744186,0.0094078947368421,1.01095384615385,0.874857142857143,66.7643697478992,3.22032888787259,5.21440863649018,0.0
402,744,Prediction set,detrital zircon,19-12-11-401,detrital zircon (<150Ma),21.9,24.741511899506435,,10.1154838709677,18.0239899643779,0.510071428571429,0.0690365448504983,0.0282236842105263,0.898892307692308,0.4876,42.1501400560224,2.91376106962317,1.3490694083666,0.0
403,745,Prediction set,detrital zircon,19-12-11-403,detrital zircon (<150Ma),48.2,23.69988908128189,,11.2787096774194,17.0250286819747,0.169714285714286,0.0281063122923588,0.00148026315789474,0.771938461538462,0.561314285714286,65.0519327731092,1.52302677974546,2.81076182687101,0.0
404,746,Prediction set,detrital zircon,19-12-11-419,detrital zircon (<150Ma),19.4,10.172460400899455,,4.34064516129032,6.9406115987688,0.300071428571429,0.0124252491694352,0.00546052631578947,0.264923076923077,0.3272,63.5978151260504,3.19660335884229,2.92808099439859,0.0
405,747,Prediction set,detrital zircon,19-12-11-42,detrital zircon (<150Ma),44.4,15.791704153451155,,10.0212903225806,11.3014656926842,0.488142857142857,0.0325581395348837,0.0121710526315789,0.540492307692308,0.333542857142857,47.9303081232493,2.0455261561833,1.02992376380386,0.0
406,748,Prediction set,detrital zircon,19-12-11-422,detrital zircon (<150Ma),64.2,59.71349306475228,,26.3903225806452,43.640711821427,0.4145,0.13063122923588,0.0523684210526316,2.08363076923077,1.29245714285714,56.6603361344538,2.47293413411397,1.39499512289492,0.0
407,749,Prediction set,detrital zircon,19-12-11-423,detrital zircon (<150Ma),72.3,18.550541004242678,,12.3864516129032,13.1854034174127,0.0949285714285714,0.0229900332225914,0.00835526315789474,0.536984615384615,0.543314285714286,59.173893557423,0.785522354292559,1.29630080078526,0.0
408,750,Prediction set,detrital zircon,19-12-11-424,detrital zircon (<150Ma),17.1,15.19232416520483,,5.81548387096774,10.5959259942279,0.345428571428571,0.0176079734219269,0.00690789473684211,0.434153846153846,0.431142857142857,60.5271148459384,2.59124462055977,2.47398840380155,0.0
409,751,Prediction set,detrital zircon,19-12-11-426,detrital zircon (<150Ma),22.6,19.084754382319655,,7.05774193548387,13.7005041520475,0.308428571428571,0.0514285714285714,0.0159868421052632,0.618338461538462,0.456057142857143,54.2098599439776,2.61145490362968,1.94638901878589,0.0
410,752,Prediction set,detrital zircon,19-12-11-427,detrital zircon (<150Ma),73.0,22.251833295566453,,12.8332258064516,16.2010044832174,0.112285714285714,0.041063122923588,0.00723684210526316,0.768061538461538,0.486914285714286,53.6977591036415,0.922422692371228,0.947896436568474,0.0
411,753,Prediction set,detrital zircon,19-12-11-433,detrital zircon (<150Ma),68.6,14.152547443292073,,10.2251612903226,10.033892569753,0.0904285714285714,0.0146179401993355,0.00559210526315789,0.397846153846154,0.437085714285714,49.5444817927171,0.510178116328049,0.887202780134444,0.0
412,754,Prediction set,detrital zircon,19-12-11-438,detrital zircon (<150Ma),17.9,16.464021531823885,,6.61193548387097,11.3874149246947,0.336785714285714,0.0184717607973422,0.00730263157894737,0.436984615384615,0.530914285714286,58.9085714285714,3.45331772696131,3.7128966024815,0.0
413,755,Prediction set,detrital zircon,19-12-11-439,detrital zircon (<150Ma),60.2,25.192293769481616,,15.3422580645161,17.7550234215061,0.156714285714286,0.0201328903654485,0.00842105263157895,0.717846153846154,0.742742857142857,46.635350140056,0.654318002516705,0.912130584096731,0.0
414,756,Prediction set,detrital zircon,19-12-11-443,detrital zircon (<150Ma),16.8,16.44097675902851,,4.69290322580645,11.4111399864092,0.368,0.0190033222591362,0.00796052631578947,0.451876923076923,0.4984,55.2070028011205,2.60531268890187,2.44202575213752,0.0
415,757,Prediction set,detrital zircon,19-12-11-45,detrital zircon (<150Ma),66.9,17.62115726343975,,11.5987096774194,12.1618155989703,0.133785714285714,0.0109634551495017,0.00352631578947368,0.4512,0.608228571428571,60.6451540616247,0.716074793957368,1.40424011199156,0.0
